"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Attributgruppe";"Attributname";"Attributwert";"Sortiernummer";"Datentyp (sonst automatisch ermittelt)";"Attributart";"Englisch: Attributname";"Englisch: Attributwert";"MeaLana-Onlineshop Deutsch: Attributwert";"MeaLana-Onlineshop Englisch: Attributwert";"sockenwolle-online.at Deutsch: Attributwert";"sockenwolle-online.at Englisch: Attributwert";"bio-wolle.at Deutsch: Attributwert";"bio-wolle.at Englisch: Attributwert";"verschlusssache.at Deutsch: Attributwert";"verschlusssache.at Englisch: Attributwert";
"PL-Star-marine (50)";"ProLana Star marine (50)";"3933";"4260114482543";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-marine (50)";"ProLana Star marine (50)";"3933";"4260114482543";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-marine (50)";"ProLana Star marine (50)";"3933";"4260114482543";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-orange (28)";"ProLana Star orange (28)";"3932";"4260114482475";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-orange (28)";"ProLana Star orange (28)";"3932";"4260114482475";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-orange (28)";"ProLana Star orange (28)";"3932";"4260114482475";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-grau (90)";"ProLana Star grau (90)";"3931";"4260114482604";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-grau (90)";"ProLana Star grau (90)";"3931";"4260114482604";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-grau (90)";"ProLana Star grau (90)";"3931";"4260114482604";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-grün (70)";"ProLana Star grün (70)";"3930";"4260114482581";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-grün (70)";"ProLana Star grün (70)";"3930";"4260114482581";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-grün (70)";"ProLana Star grün (70)";"3930";"4260114482581";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-camel (05)";"ProLana Star camel (05)";"3929";"4260114482444";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-camel (05)";"ProLana Star camel (05)";"3929";"4260114482444";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-camel (05)";"ProLana Star camel (05)";"3929";"4260114482444";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-braun (10)";"ProLana Star braun (10)";"3928";"4260114482451";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-braun (10)";"ProLana Star braun (10)";"3928";"4260114482451";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-braun (10)";"ProLana Star braun (10)";"3928";"4260114482451";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-schwarz (99)";"ProLana Star schwarz (99)";"3927";"4260114482611";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-schwarz (99)";"ProLana Star schwarz (99)";"3927";"4260114482611";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-schwarz (99)";"ProLana Star schwarz (99)";"3927";"4260114482611";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-vanille (02)";"ProLana Star vanille (02)";"3926";"4260114482437";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-vanille (02)";"ProLana Star vanille (02)";"3926";"4260114482437";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-vanille (02)";"ProLana Star vanille (02)";"3926";"4260114482437";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-dottergelb (22)";"ProLana Star dottergelb (22)";"3925";"4260114482468";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-dottergelb (22)";"ProLana Star dottergelb (22)";"3925";"4260114482468";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-dottergelb (22)";"ProLana Star dottergelb (22)";"3925";"4260114482468";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-lila (45)";"ProLana Star lila (45)";"3924";"4260114482536";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-lila (45)";"ProLana Star lila (45)";"3924";"4260114482536";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-lila (45)";"ProLana Star lila (45)";"3924";"4260114482536";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-hellblau (56)";"ProLana Star hellblau (56)";"3923";"4260114482567";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-hellblau (56)";"ProLana Star hellblau (56)";"3923";"4260114482567";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-hellblau (56)";"ProLana Star hellblau (56)";"3923";"4260114482567";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-royal (51)";"ProLana Star royal (51)";"3922";"4260114482550";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-royal (51)";"ProLana Star royal (51)";"3922";"4260114482550";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-royal (51)";"ProLana Star royal (51)";"3922";"4260114482550";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-pink (43)";"ProLana Star pink (43)";"3921";"4260114482529";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-pink (43)";"ProLana Star pink (43)";"3921";"4260114482529";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-pink (43)";"ProLana Star pink (43)";"3921";"4260114482529";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-weinrot (32)";"ProLana Star weinrot (32)";"3920";"4260114482499";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-weinrot (32)";"ProLana Star weinrot (32)";"3920";"4260114482499";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-weinrot (32)";"ProLana Star weinrot (32)";"3920";"4260114482499";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-Star-rot (30)";"ProLana Star rot (30)";"3919";"4260114482482";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-Star-rot (30)";"ProLana Star rot (30)";"3919";"4260114482482";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-Star-rot (30)";"ProLana Star rot (30)";"3919";"4260114482482";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-278500-179";"Joker 8 uni schwarz (179)";"3905";"4260114480174";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-278500-179";"Joker 8 uni schwarz (179)";"3905";"4260114480174";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-278500-179";"Joker 8 uni schwarz (179)";"3905";"4260114480174";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PL-278500-175";"Joker 8 uni blau (175)";"3904";"4260114480136";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PL-278500-175";"Joker 8 uni blau (175)";"3904";"4260114480136";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-278500-175";"Joker 8 uni blau (175)";"3904";"4260114480136";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315125";"Kostümknöpfe 50mm schwarz";"3886";;"315125";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315125";"Kostümknöpfe 50mm schwarz";"3886";;"315125";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315125";"Kostümknöpfe 50mm schwarz";"3886";;"315125";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315124";"Kostümknöpfe 50mm blau";"3885";;"315124";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315124";"Kostümknöpfe 50mm blau";"3885";;"315124";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315124";"Kostümknöpfe 50mm blau";"3885";;"315124";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315123";"Kostümknöpfe 50mm grün";"3884";;"315123";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315123";"Kostümknöpfe 50mm grün";"3884";;"315123";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315123";"Kostümknöpfe 50mm grün";"3884";;"315123";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315122";"Kostümknöpfe 50mm rot";"3883";;"315122";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315122";"Kostümknöpfe 50mm rot";"3883";;"315122";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315122";"Kostümknöpfe 50mm rot";"3883";;"315122";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315120";"Kostümknöpfe 50mm gelb";"3882";;"315120";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315120";"Kostümknöpfe 50mm gelb";"3882";;"315120";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315120";"Kostümknöpfe 50mm gelb";"3882";;"315120";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315121";"Kostümknöpfe 50mm orange";"3881";;"315121";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315121";"Kostümknöpfe 50mm orange";"3881";;"315121";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315121";"Kostümknöpfe 50mm orange";"3881";;"315121";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315100";"Kostümknöpfe 35mm gelb";"3879";;"315100";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315100";"Kostümknöpfe 35mm gelb";"3879";;"315100";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315100";"Kostümknöpfe 35mm gelb";"3879";;"315100";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315105";"Kostümknöpfe 35mm schwarz";"3878";;"315105";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315105";"Kostümknöpfe 35mm schwarz";"3878";;"315105";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315105";"Kostümknöpfe 35mm schwarz";"3878";;"315105";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315104";"Kostümknöpfe 35mm blau";"3877";;"315104";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315104";"Kostümknöpfe 35mm blau";"3877";;"315104";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315104";"Kostümknöpfe 35mm blau";"3877";;"315104";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315103";"Kostümknöpfe 35mm grün";"3876";;"315103";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315103";"Kostümknöpfe 35mm grün";"3876";;"315103";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315103";"Kostümknöpfe 35mm grün";"3876";;"315103";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315101";"Kostümknöpfe 35mm orange";"3875";;"315101";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315101";"Kostümknöpfe 35mm orange";"3875";;"315101";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315101";"Kostümknöpfe 35mm orange";"3875";;"315101";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"PRY-315102";"Kostümknöpfe 35mm rot";"3874";;"315102";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"PRY-315102";"Kostümknöpfe 35mm rot";"3874";;"315102";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PRY-315102";"Kostümknöpfe 35mm rot";"3874";;"315102";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1751";"DROPS Basic Stahl - Häkelnadel - 1,75 mm ; 13 cm";"3847";"7071723009499";"1751";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-151";"DROPS Basic Stahl - Häkelnadel - 1,5 mm ; 13 cm";"3846";"7071723009482";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1251";"DROPS Basic Stahl - Häkelnadel - 1,25 mm ; 13 cm";"3845";"7071723009475";"1251";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-11";"DROPS Basic Stahl - Häkelnadel - 1 mm ; 13 cm";"3844";"7071723009468";"11";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-751";"DROPS Basic Stahl - Häkelnadel - 0,75 mm ; 13 cm";"3843";"7071723009451";"751";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-101";"DROPS Basic Birkenholz - Häkelnadel - 10 mm ; 15 cm";"3842";"7071723009376";"101";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-91";"DROPS Basic Birkenholz - Häkelnadel - 9 mm ; 15 cm";"3841";"7071723009369";"91";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-81";"DROPS Basic Birkenholz - Häkelnadel - 8 mm ; 15 cm";"3840";"7071723009352";"81";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-71";"DROPS Basic Birkenholz - Häkelnadel - 7 mm ; 15 cm";"3839";"7071723009345";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-61";"DROPS Basic Birkenholz - Häkelnadel - 6 mm ; 15 cm";"3838";"7071723009338";"61";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-51";"DROPS Basic Aluminium - Häkelnadel - 5 mm ; 15 cm";"3837";"7071723009444";"51";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-451";"DROPS Basic Aluminium - Häkelnadel - 4,5 mm ; 15 cm";"3836";"7071723009437";"451";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-41";"DROPS Basic Aluminium - Häkelnadel - 4 mm ; 15 cm";"3835";"7071723009420";"41";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-351";"DROPS Basic Aluminium - Häkelnadel - 3,5 mm ; 15 cm";"3834";"7071723009413";"351";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-31";"DROPS Basic Aluminium - Häkelnadel - 3 mm ; 15 cm";"3833";"7071723009406";"31";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-251";"DROPS Basic Aluminium - Häkelnadel - 2,5 mm ; 15 cm";"3832";"7071723009390";"251";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-21";"DROPS Basic Aluminium - Häkelnadel - 2 mm ; 15 cm";"3831";"7071723009383";"21";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30101";"DROPS Basic Birkenholz - Paarnadeln - 10 mm ; 35 cm";"3830";"7071723009321";"30101";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30901";"DROPS Basic Birkenholz - Paarnadeln - 9 mm ; 35 cm";"3829";"7071723009314";"D-30901";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30801";"DROPS Basic Birkenholz - Paarnadeln - 8 mm ; 35 cm";"3828";"7071723009307";"30801";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30701";"DROPS Basic Birkenholz - Paarnadeln - 7 mm ; 35 cm";"3827";"7071723009291";"30701";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30601";"DROPS Basic Birkenholz - Paarnadeln - 6 mm ; 35 cm";"3826";"7071723009284";"30601";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30551";"DROPS Basic Birkenholz - Paarnadeln - 5,5 mm ; 35 cm";"3825";"7071723009277";"30551";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30501";"DROPS Basic Aluminium - Paarnadeln - 5 mm ; 35 cm";"3824";"7071723009604";"30501";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30451";"DROPS Basic Aluminium - Paarnadeln - 4,5 mm ; 35 cm";"3823";"7071723009598";"30451";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30401";"DROPS Basic Aluminium - Paarnadeln - 4 mm ; 35 cm";"3822";"7071723009581";"30401";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-30351";"DROPS Basic Aluminium - Paarnadeln - 3,5 mm ; 35 cm";"3821";"7071723009574";"30351";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
